source_symbol,source_exchange
NCM AU,ASX
NAB AU,ASX
RHC AU,ASX
ANZ AU,ASX
MQG AU,ASX
STO AU,ASX
S32 AU,ASX
WPL AU,ASX
ORG AU,ASX
TLS AU,ASX
APA AU,ASX
CSL AU,ASX
WBC AU,ASX
SHL AU,ASX
TCL AU,ASX
COL AU,ASX
WOW AU,ASX
EVN AU,ASX
COH AU,ASX
AGL AU,ASX
WES AU,ASX
CBA AU,ASX
TWE AU,ASX
K,TSX
AEM,TSX
ARX,TSX
WPM,TSX
SNC,TSX
ATD.B,TSX
ENB,TSX
BAM.A,TSX
FM,TSX
GIL,TSX
KL,TSX
GIB.A,TSX
PPL,TSX
SLF,TSX
IMO,TSX
WEED,TSX
CCL.B,TSX
CSU,TSX
WN,TSX
CPG,TSX
DOL,TSX
QSR,TSX
CTC.A,TSX
L,TSX
SAP,TSX
SJR.B,TSX
CCO,TSX
EMA,TSX
FNV,TSX
NA,TSX
POW,TSX
FTS,TSX
MRU,TSX
IPL,TSX
OTEX,TSX
RCI.B,TSX
600887 CH,SHSE
600519 CH,SHSE
000858 CH,SZSE
300015 CH,SZSE
600900 CH,SHSE
000333 CH,SZSE
600048 CH,SHSE
000002 CH,SZSE
603288 CH,SHSE
001979 CH,SZSE
300498 CH,SZSE
002304 CH,SZSE
600276 CH,SHSE
600340 CH,SHSE
BATS LN,LSE
ABF LN,LSE
HSBA LN,LSE
HL. LN,LSE
TW LN,LSE
VOD LN,LSE
AZN LN,LSE
BDEV LN,LSE
DLG LN,LSE
PSN LN,LSE
RTO LN,LSE
SMIN LN,LSE
IMI LN,LSE
AV LN,LSE
MNDI LN,LSE
WPP LN,LSE
SGRO LN,LSE
ITV LN,LSE
CNA LN,LSE
FERG LN,LSE
LAND LN,LSE
BP LN,LSE
BKG LN,LSE
OCDO LN,LSE
KGF LN,LSE
III LN,LSE
HIK LN,LSE
IMB LN,LSE
EZJ LN,LSE
STJ LN,LSE
SSE LN,LSE
TPK LN,LSE
STAN LN,LSE
LGEN LN,LSE
CPG LN,LSE
LLOY LN,LSE
REL LN,LSE
SMDS LN,LSE
DGE LN,LSE
SN LN,LSE
AHT LN,LSE
JMAT LN,LSE
GSK LN,LSE
RIO LN,LSE
ULVR LN,LSE
BNZL LN,LSE
MNG LN,LSE
BRBY LN,LSE
ITRK LN,LSE
IHG LN,LSE
UU LN,LSE
SDR LN,LSE
HLMA LN,LSE
PSON LN,LSE
RR LN,LSE
MRW LN,LSE
ANTO LN,LSE
SPX LN,LSE
BARC LN,LSE
INF LN,LSE
MKS LN,LSE
BT.A LN,LSE
ABDN LN,LSE
SGE LN,LSE
SVT LN,LSE
LSEG LN,LSE
CCH LN,LSE
NXT LN,LSE
MRO LN,LSE
RKT LN,LSE
BA LN,LSE
PRU LN,LSE
AAL LN,LSE
NG LN,LSE
TSCO LN,LSE
PFC LN,LSE
MAERSKB DC,CPSE
GN DC,CPSE
DSV DC,CPSE
CARLB DC,CPSE
PNDORA DC,CPSE
NOVO.B DC,CPSE
GMAB DC,CPSE
ORSTED DC,CPSE
COLOB DC,CPSE
NZYMB DC,CPSE
DANSKE DC,CPSE
