source_symbol,source_exchange,master_id
NCM AU,ASX,129294
NAB AU,ASX,129279
RHC AU,ASX,129573
ANZ AU,ASX,128223
MQG AU,ASX,129234
STO AU,ASX,129742
S32 AU,ASX,129623
WPL AU,ASX,129964
ORG AU,ASX,129393
TLS AU,ASX,129803
APA AU,ASX,128233
CSL AU,ASX,128570
WBC AU,ASX,129923
SHL AU,ASX,129667
TCL AU,ASX,129776
COL AU,ASX,128550
WOW AU,ASX,129963
EVN AU,ASX,128748
COH AU,ASX,128548
AGL AU,ASX,128159
WES AU,ASX,129937
CBA AU,ASX,128456
TWE AU,ASX,129856
K,TSX,80538
AEM,TSX,80508
ARX,TSX,86051
WPM,TSX,80563
SNC,TSX,80552
ATD.B,TSX,86058
ENB,TSX,80530
BAM.A,TSX,86071
FM,TSX,80531
GIL,TSX,80535
KL,TSX,80539
GIB.A,TSX,86290
PPL,TSX,80547
SLF,TSX,80555
IMO,TSX,80536
WEED,TSX,80525
CCL.B,TSX,86110
CSU,TSX,80527
WN,TSX,80534
CPG,TSX,86150
DOL,TSX,80528
QSR,TSX,80549
CTC.A,TSX,86168
L,TSX,80540
SAP,TSX,80553
SJR.B,TSX,86574
CCO,TSX,80519
EMA,TSX,80529
FNV,TSX,80533
NA,TSX,80544
POW,TSX,80548
FTS,TSX,80532
MRU,TSX,80543
IPL,TSX,80537
OTEX,TSX,80546
RCI.B,TSX,86535
600887 CH,SHSE,124671
600519 CH,SHSE,77646
000858 CH,SZSE,126017
300015 CH,SZSE,127159
600900 CH,SHSE,124682
000333 CH,SZSE,125741
600048 CH,SHSE,123970
000002 CH,SZSE,125673
603288 CH,SHSE,125087
001979 CH,SZSE,126124
300498 CH,SZSE,127631
002304 CH,SZSE,126420
600276 CH,SHSE,124163
600340 CH,SHSE,124219
BATS LN,LSE,79731
ABF LN,LSE,79741
HSBA LN,LSE,77673
HL. LN,LSE,79760
TW LN,LSE,79785
VOD LN,LSE,77677
AZN LN,LSE,77669
BDEV LN,LSE,79780
DLG LN,LSE,79799
PSN LN,LSE,79764
RTO LN,LSE,79759
SMIN LN,LSE,79784
IMI LN,LSE,79822
AV LN,LSE,79749
MNDI LN,LSE,79766
WPP LN,LSE,79761
SGRO LN,LSE,79751
ITV LN,LSE,79809
CNA LN,LSE,79834
FERG LN,LSE,79748
LAND LN,LSE,79781
BP LN,LSE,77675
BKG LN,LSE,79782
OCDO LN,LSE,79750
KGF LN,LSE,79805
III LN,LSE,79756
HIK LN,LSE,79778
IMB LN,LSE,79740
EZJ LN,LSE,79813
STJ LN,LSE,79789
SSE LN,LSE,79745
TPK LN,LSE,79818
STAN LN,LSE,79742
LGEN LN,LSE,79746
CPG LN,LSE,79737
LLOY LN,LSE,79735
REL LN,LSE,79733
SMDS LN,LSE,79792
DGE LN,LSE,77676
SN LN,LSE,79744
AHT LN,LSE,79752
JMAT LN,LSE,79798
GSK LN,LSE,77674
RIO LN,LSE,77678
ULVR LN,LSE,77671
BNZL LN,LSE,79774
MNG LN,LSE,79800
BRBY LN,LSE,79771
ITRK LN,LSE,79755
IHG LN,LSE,79762
UU LN,LSE,79770
SDR LN,LSE,79753
HLMA LN,LSE,79758
PSON LN,LSE,79795
RR LN,LSE,79763
MRW LN,LSE,79790
ANTO LN,LSE,79757
SPX LN,LSE,79768
BARC LN,LSE,77672
INF LN,LSE,79772
MKS LN,LSE,79830
BT.A LN,LSE,79747
ABDN LN,LSE,79779
SGE LN,LSE,79765
SVT LN,LSE,79777
LSEG LN,LSE,79734
CCH LN,LSE,80119
NXT LN,LSE,79769
MRO LN,LSE,79783
RKT LN,LSE,79732
BA LN,LSE,79739
PRU LN,LSE,77670
AAL LN,LSE,79738
NG LN,LSE,77679
TSCO LN,LSE,79736
PFC LN,LSE,79936
MAERSKB DC,CPSE,82787
GN DC,CPSE,82784
DSV DC,CPSE,82782
CARLB DC,CPSE,82778
PNDORA DC,CPSE,82791
NOVO.B DC,CPSE,77651
GMAB DC,CPSE,82783
ORSTED DC,CPSE,82790
COLOB DC,CPSE,82779
NZYMB DC,CPSE,82789
DANSKE DC,CPSE,82780
VWS DC,CPSE,82795
EDF FP,ENXTPA,122066
BNP FP,ENXTPA,80481
TTE FP,ENXTPA,122396
GFC FP,ENXTPA,122119
TEP FP,ENXTPA,122384
CS FP,ENXTPA,80477
ENGI FP,ENXTPA,80488
AIR FP,ENXTPA,121734
SCR FP,ENXTPA,122351
HO FP,ENXTPA,80502
SGO FP,ENXTPA,80499
VIV FP,ENXTPA,80505
ML FP,ENXTPA,80493
UBI FP,ENXTPA,122398
PUB FP,ENXTPA,80496
AKE FP,ENXTPA,121736
SU FP,ENXTPA,77664
GLE FP,ENXTPA,80500
LI FP,ENXTPA,122172
CA FP,ENXTPA,80484
ALO FP,ENXTPA,121891
EN FP,ENXTPA,80482
SESG FP,ENXTPA,122357
SAF FP,ENXTPA,80498
MC FP,ENXTPA,77648
KER FP,ENXTPA,80491
EDEN FP,ENXTPA,122065
ETL FP,ENXTPA,122084
IPN FP,ENXTPA,122154
RI FP,ENXTPA,80494
EL FP,ENXTPA,80489
VIE FP,ENXTPA,80503
OR FP,ENXTPA,77650
MMB FP,ENXTPA,122281
SW FP,ENXTPA,80501
ATO FP,ENXTPA,80480
DSY FP,ENXTPA,80487
RNO FP,ENXTPA,80497
RMS FP,ENXTPA,80490
LR FP,ENXTPA,80492
SEV FP,ENXTPA,122359
AF FP,ENXTPA,121732
BN FP,ENXTPA,80486
CAP FP,ENXTPA,80483
STM FP,ENXTPA,122378
SAN FP,ENXTPA,77657
ACA FP,ENXTPA,80485
DG FP,ENXTPA,80504
AI FP,ENXTPA,80479
AC FP,ENXTPA,80478
FR FP,ENXTPA,122109
PRX NA,ENXTAM,77655
MT NA,ENXTAM,122476
ASML NA,ENXTAM,77656
AKZA NA,ENXTAM,79718
KPN NA,ENXTAM,79724
RDSA NA,ENXTAM,77654
INGA NA,ENXTAM,79723
CCEP NA,ENXTAM,122441
DSM NA,ENXTAM,79720
PHIA NA,ENXTAM,79726
AD NA,ENXTAM,79717
NN NA,ENXTAM,79725
ADYEN NA,ENXTAM,79715
ABN NA,ENXTAM,79714
HEIA NA,ENXTAM,79721
AGN NA,ENXTAM,79716
RAND NA,ENXTAM,79727
URW NA,ENXTAM,122508
WKL NA,ENXTAM,79730
HOLN SW,SWX,79504
UBSG SW,SWX,79513
SIKA SW,SWX,79508
NESN SW,SWX,77641
ROG SW,SWX,77642
SLHN SW,SWX,79510
ADEN SW,SWX,79499
ABBN SW,SWX,79498
SREN SW,SWX,79511
LONN SW,SWX,79505
ZURN SW,SWX,79514
ALC SW,SWX,79500
CFR SW,SWX,79506
UHR SW,SWX,79509
CSGN SW,SWX,79501
GIVN SW,SWX,79503
SGSN SW,SWX,79507
SCMN SW,SWX,79512
GEBN SW,SWX,79502
DPW GY,XTRA,82764
IFX GY,XTRA,82771
FRE GY,XTRA,82767
EOAN GY,XTRA,82766
SIE GY,XTRA,77662
VNA GY,XTRA,82775
1COV GY,XTRA,82759
DB1 GY,XTRA,82762
VOW3 GY,XTRA,82774
RWE GY,XTRA,82773
DAI GY,XTRA,82760
BAYN GY,XTRA,82755
ADS GY,XTRA,82754
BMW GY,XTRA,82757
CON GY,XTRA,82758
FME GY,XTRA,82768
BEI GY,XTRA,82756
DBK GY,XTRA,82761
LHA GY,XTRA,82763
HEN3 GY,XTRA,82770
BAS GY,XTRA,77667
AT1 GY,XTRA,138407
SDF GY,XTRA,138408
DTE GY,XTRA,82765
ALV GY,XTRA,77661
HEI GY,XTRA,82769
MRK GY,XTRA,82772
SAP GY,XTRA,77653
INFO IN,NSEI,61008
ITC IN,NSEI,61020
HUVR IN,NSEI,60945
TTMT IN,NSEI,61586
TCS IN,NSEI,61580
WPRO IN,NSEI,61714
2454 TT,TWSE,82671
2330 TT,TWSE,77644
2882 TT,TWSE,82678
1216 TT,TWSE,82675
2317 TT,TWSE,82670
2303 TT,TWSE,82691
2002 TT,TWSE,82684
2412 TT,TWSE,82672
2409 TT,TWSE,82719
4543 JP,TSE,80753
8766 JP,TSE,80758
7203 JP,TSE,77649
4507 JP,TSE,80723
2413 JP,TSE,80651
4661 JP,TSE,115299
6367 JP,TSE,80591
2503 JP,TSE,80642
6752 JP,TSE,80709
2897 JP,TSE,114427
4528 JP,TSE,115219
9684 JP,TSE,117227
4452 JP,TSE,80635
4911 JP,TSE,80724
6971 JP,TSE,80649
2269 JP,TSE,80657
7201 JP,TSE,80691
9983 JP,TSE,80606
4523 JP,TSE,80603
2914 JP,TSE,80628
5108 JP,TSE,80576
4519 JP,TSE,80582
8113 JP,TSE,116733
7751 JP,TSE,80577
8267 JP,TSE,80565
6869 JP,TSE,116134
7974 JP,TSE,116650
8035 JP,TSE,80761
6981 JP,TSE,116191
4063 JP,TSE,80721
8316 JP,TSE,80739
6594 JP,TSE,116003
2502 JP,TSE,80572
6758 JP,TSE,77660
6098 JP,TSE,80711
3382 JP,TSE,80719
2587 JP,TSE,114315
6954 JP,TSE,80605
8802 JP,TSE,80662
7267 JP,TSE,77666
6861 JP,TSE,116128
3659 JP,TSE,113816
8306 JP,TSE,77663
4502 JP,TSE,80750
9434 JP,TSE,113819
9433 JP,TSE,80638
4751 JP,TSE,80587
6503 JP,TSE,80661
8411 JP,TSE,80673
9984 JP,TSE,80728
6501 JP,TSE,80617
6902 JP,TSE,80597
7741 JP,TSE,116516
4503 JP,TSE,80574
8001 JP,TSE,80624
7269 JP,TSE,80743
2802 JP,TSE,80567
4568 JP,TSE,80590
017670 KS,KOSE,79528
005930 KS,KOSE,77643
000660 KS,KOSE,79515
036570 KS,KOSE,79521
005490 KS,KOSE,79525
035420 KS,KOSE,79516
051910 KS,KOSE,79518
066570 KS,KOSE,79535
068270 KS,KOSE,79517
005380 KS,KOSE,79520
012330 KS,KOSE,79523
033780 KS,KOSE,79531
015760 KS,KOSE,79538
KEP SP,SGX,74412
UOB SP,SGX,74644
OCBC SP,SGX,74573
CIT SP,SGX,74439
WIL SP,SGX,74493
ST SP,SGX,74666
DBS SP,SGX,74467
STE SP,SGX,74617
STH SP,SGX,74453
SIA SP,SGX,74447
1186 HK,SEHK,74781
576 HK,SEHK,76053
390 HK,SEHK,75929
762 HK,SEHK,76188
1109 HK,SEHK,74688
753 HK,SEHK,76180
1199 HK,SEHK,74869
1055 HK,SEHK,74747
670 HK,SEHK,76118
992 HK,SEHK,76331
386 HK,SEHK,75925
5 HK,SEHK,75616
1800 HK,SEHK,74732
728 HK,SEHK,76164
1 HK,SEHK,75612
