ANZ AU, ASX
SHL AU, ASX
TCL AU, ASX
STO AU, ASX
WPL AU, ASX
NAB AU, ASX
COL AU, ASX
RHC AU, ASX
S32 AU, ASX
EVN AU, ASX
WOW AU, ASX
COH AU, ASX
AGL AU, ASX
WES AU, ASX
TWE AU, ASX
CBA AU, ASX
AEM, TSX
K, TSX
WPM, TSX
SNC, TSX
ATD.B, TSX
BAM.A, TSX
FM, TSX
GIL, TSX
GIB.A, TSX
PPL, TSX
IMO, TSX
CSU, TSX
WN, TSX
WEED, TSX
DOL, TSX
CCL.B, TSX
CPG, TSX
L, TSX
SAP, TSX
QSR, TSX
SJR.B, TSX
CTC.A, TSX
CCO, TSX
FNV, TSX
MRU, TSX
POW, TSX
FTS, TSX
OTEX, TSX
RCI.B, TSX
600887 CH, SHSE
000858 CH, SZSE
300015 CH, SZSE
CSL AU, ASX
APA AU, ASX
000333 CH, SZSE
600900 CH, SHSE
600048 CH, SHSE
000002 CH, SZSE
603288 CH, SHSE
001979 CH, SZSE
600519 CH, SHSE
ORG AU, ASX
TLS AU, ASX
300498 CH, SZSE
WBC AU, ASX
NCM AU, ASX
002304 CH, SZSE
MQG AU, ASX
600340 CH, SHSE
BATS LN, LSE
HSBA LN, LSE
ABF LN, LSE
HL. LN, LSE
AZN LN, LSE
BDEV LN, LSE
DLG LN, LSE
TW LN, LSE
600276 CH, SHSE
VOD LN, LSE
RTO LN, LSE
SMIN LN, LSE
AV LN, LSE
PSN LN, LSE
MNDI LN, LSE
IMI LN, LSE
ITV LN, LSE
WPP LN, LSE
SGRO LN, LSE
CNA LN, LSE
FERG LN, LSE
LAND LN, LSE
OCDO LN, LSE
BP LN, LSE
IMB LN, LSE
EZJ LN, LSE
KGF LN, LSE
BKG LN, LSE
III LN, LSE
HIK LN, LSE
STJ LN, LSE
TPK LN, LSE
LGEN LN, LSE
STAN LN, LSE
CPG LN, LSE
SSE LN, LSE
REL LN, LSE
SMDS LN, LSE
DGE LN, LSE
LLOY LN, LSE
SN LN, LSE
AHT LN, LSE
GSK LN, LSE
JMAT LN, LSE
RIO LN, LSE
ULVR LN, LSE
BNZL LN, LSE
MNG LN, LSE
ITRK LN, LSE
IHG LN, LSE
BRBY LN, LSE
PSON LN, LSE
SDR LN, LSE
HLMA LN, LSE
RR LN, LSE
UU LN, LSE
INF LN, LSE
SPX LN, LSE
MKS LN, LSE
BARC LN, LSE
SGE LN, LSE
ABDN LN, LSE
CCH LN, LSE
NXT LN, LSE
ANTO LN, LSE
SVT LN, LSE
MRO LN, LSE
