ARX, TSX
ENB, TSX
KL, TSX
SLF, TSX
EMA, TSX
nan, TSX
IPL, TSX
MRW LN, LSE
BT.A LN, LSE
LSEG LN, LSE
RKT LN, LSE
MAERSKB DC, CPSE
NOVO.B DC, CPSE
VNA GY, XTRA
HUVR IN, NSEI
1COV GY, XTRA
035420 KS, KOSE
068270 KS, KOSE
BKH, NYSE
BIG, NYSE
BXS, NYSE
CLW, NYSE
EAT, NYSE
FLO, NYSE
FTI, NYSE
HE, NYSE
HP, NYSE
BBWI, NYSE
NFG, NYSE
NOV, NYSE
MTX, NYSE
NWN, NYSE
OGE, NYSE
NJR, NYSE
ORA, NYSE
PANW, NYSE
RIG, NYSE
SJI, NYSE
SLG, NYSE
SWX, NYSE
BLDP, NasdaqGS
BJRI, NasdaqGS
BRKS, NasdaqGS
CMCSA, NasdaqGS
ENPH, NasdaqGS
GRMN, NasdaqGS
PTEN, NasdaqGS
PLUG, NasdaqGS
TNDM, NasdaqGS
NG, NYSEAM
AGR, NYSE
SR, NYSE
TTD, NasdaqGS
APPN, NasdaqGS
VST, NYSE
BKR, NYSE
ACA, NYSE
PFC, NasdaqGS
AI, NYSE
ENBL, NYSE
WTRG, NYSE
LGF.B, NYSE
WOLF, NasdaqGS
AMOV, NYSE
