provider_symbol,source_exchange,master_id,source_name,agrud_ticker,agrud_exchange_name,exchange_id,,security_type_id,provider_id
NCM AU,ASX,129294,CFRA,NCM,AU,118,Not Maintained,4,15
NAB AU,ASX,129279,CFRA,NAB,AU,118,Not Maintained,4,15
RHC AU,ASX,129573,CFRA,RHC,AU,118,Not Maintained,4,15
ANZ AU,ASX,128223,CFRA,ANZ,AU,118,Not Maintained,4,15
MQG AU,ASX,129234,CFRA,MQG,AU,118,Not Maintained,4,15
STO AU,ASX,129742,CFRA,STO,AU,118,Not Maintained,4,15
S32 AU,ASX,129623,CFRA,S32,AU,118,Not Maintained,4,15
WPL AU,ASX,129964,CFRA,WPL,AU,118,Not Maintained,4,15
ORG AU,ASX,129393,CFRA,ORG,AU,118,Not Maintained,4,15
TLS AU,ASX,129803,CFRA,TLS,AU,118,Not Maintained,4,15
APA AU,ASX,128233,CFRA,APA,AU,118,Not Maintained,4,15
CSL AU,ASX,128570,CFRA,CSL,AU,118,Not Maintained,4,15
WBC AU,ASX,129923,CFRA,WBC,AU,118,Not Maintained,4,15
SHL AU,ASX,129667,CFRA,SHL,AU,118,Not Maintained,4,15
TCL AU,ASX,129776,CFRA,TCL,AU,118,Not Maintained,4,15
COL AU,ASX,128550,CFRA,COL,AU,118,Not Maintained,4,15
WOW AU,ASX,129963,CFRA,WOW,AU,118,Not Maintained,4,15
EVN AU,ASX,128748,CFRA,EVN,AU,118,Not Maintained,4,15
COH AU,ASX,128548,CFRA,COH,AU,118,Not Maintained,4,15
AGL AU,ASX,128159,CFRA,AGL,AU,118,Not Maintained,4,15
WES AU,ASX,129937,CFRA,WES,AU,118,Not Maintained,4,15
CBA AU,ASX,128456,CFRA,CBA,AU,118,Not Maintained,4,15
TWE AU,ASX,129856,CFRA,TWE,AU,118,Not Maintained,4,15
K,TSX,80538,CFRA,K,TO,24,Not Maintained,4,15
AEM,TSX,80508,CFRA,AEM,TO,24,Not Maintained,4,15
ARX,TSX,86051,CFRA,ARX,TO,24,Not Maintained,4,15
WPM,TSX,80563,CFRA,WPM,TO,24,Not Maintained,4,15
SNC,TSX,80552,CFRA,SNC,TO,24,Not Maintained,4,15
ATD.B,TSX,86058,CFRA,ATD-B,TO,24,Not Maintained,4,15
ENB,TSX,80530,CFRA,ENB,TO,24,Not Maintained,4,15
BAM.A,TSX,86071,CFRA,BAM-A,TO,24,Not Maintained,4,15
FM,TSX,80531,CFRA,FM,TO,24,Not Maintained,4,15
GIL,TSX,80535,CFRA,GIL,TO,24,Not Maintained,4,15
KL,TSX,80539,CFRA,KL,TO,24,Not Maintained,4,15
GIB.A,TSX,86290,CFRA,GIB-A,TO,24,Not Maintained,4,15
PPL,TSX,80547,CFRA,PPL,TO,24,Not Maintained,4,15
SLF,TSX,80555,CFRA,SLF,TO,24,Not Maintained,4,15
IMO,TSX,80536,CFRA,IMO,TO,24,Not Maintained,4,15
WEED,TSX,80525,CFRA,WEED,TO,24,Not Maintained,4,15
CCL.B,TSX,86110,CFRA,CCL-B,TO,24,Not Maintained,4,15
CSU,TSX,80527,CFRA,CSU,TO,24,Not Maintained,4,15
WN,TSX,80534,CFRA,WN,TO,24,Not Maintained,4,15
CPG,TSX,86150,CFRA,CPG,TO,24,Not Maintained,4,15
DOL,TSX,80528,CFRA,DOL,TO,24,Not Maintained,4,15
QSR,TSX,80549,CFRA,QSR,TO,24,Not Maintained,4,15
CTC.A,TSX,86168,CFRA,CTC-A,TO,24,Not Maintained,4,15
L,TSX,80540,CFRA,L,TO,24,Not Maintained,4,15
SAP,TSX,80553,CFRA,SAP,TO,24,Not Maintained,4,15
SJR.B,TSX,86574,CFRA,SJR-B,TO,24,Not Maintained,4,15
CCO,TSX,80519,CFRA,CCO,TO,24,Not Maintained,4,15
EMA,TSX,80529,CFRA,EMA,TO,24,Not Maintained,4,15
FNV,TSX,80533,CFRA,FNV,TO,24,Not Maintained,4,15
NA,TSX,80544,CFRA,NA,TO,24,Not Maintained,4,15
POW,TSX,80548,CFRA,POW,TO,24,Not Maintained,4,15
FTS,TSX,80532,CFRA,FTS,TO,24,Not Maintained,4,15
MRU,TSX,80543,CFRA,MRU,TO,24,Not Maintained,4,15
OTEX,TSX,80546,CFRA,OTEX,TO,24,Not Maintained,4,15
RCI.B,TSX,86535,CFRA,RCI-B,TO,24,Not Maintained,4,15
600887 CH,SHSE,124671,CFRA,600887,SHG,18,Not Maintained,4,15
600519 CH,SHSE,77646,CFRA,600519,SHG,18,Not Maintained,4,15
000858 CH,SZSE,126017,CFRA,000858,SHE,113,Not Maintained,4,15
300015 CH,SZSE,127159,CFRA,300015,SHE,113,Not Maintained,4,15
600900 CH,SHSE,124682,CFRA,600900,SHG,18,Not Maintained,4,15
000333 CH,SZSE,125741,CFRA,000333,SHE,113,Not Maintained,4,15
