master id,isin name,price,date
141005,LU0232524495,145.66,2022-03-03
141034,LU0289739343,54.46,2022-03-03
141037,LU0289923608,218.9,2022-03-03
141038,LU0289924671,10.19,2022-03-03
141039,LU0289941410,36.72,2022-03-03
141040,LU0289958901,21.64,2022-03-03
141042,LU0289961442,159.65,2022-03-03
141043,LU0289962507,4.7,2022-03-03
141081,LU0328307227,6.79,2022-03-03
137981,LU0328307730,3.13,2022-03-03
141093,LU0366777323,8.22,2022-03-03
141099,LU0417102927,243.18,2022-03-03
141101,LU0417103495,129.15,2022-03-03
141102,LU0417103578,27.04,2022-03-03
141156,LU0690034276,84.11,2022-03-03
138010,LU0704905362,99.28,2022-03-03
141249,LU0981926206,114.97,2022-03-03
141275,LU1069345178,89.64,2022-03-03
141418,LU2298379152,14.61,2022-03-03
