master id,isin name,price,date
140870,DE0008475021,134.13,2022-03-03
140871,GB0000796242,"4,450.00",2022-03-03
140872,GB0000840719,382.70,2022-03-03
140873,GB0030932676,49.85,2022-03-03
140874,GB00B01NJ778,2.66,2022-03-03
138686,IE0000829238,"1,457.97",2022-03-03
138676,IE0000830236,257.39,2022-03-03
138576,IE0000835953,8.39,2022-03-03
141792,IE00043JTBZ6,102.19,2022-03-03
140883,IE0008368742,222.12,2022-03-03
140884,IE000G1ER031,92.53,2022-03-03
140885,IE000IQEE9W5,92.56,2022-03-03
140886,IE000J9WOV28,92.24,2022-03-03
141791,IE000RC8IBP7,100.89,2022-03-03
141793,IE000Z0DPSS4,99.86,2022-03-03
138578,IE0032158457,8.55,2022-03-03
138178,IE0032303764,29.83,2022-03-03
138577,IE0033156484,5.05,2022-03-03
140778,IE00B067MR52,94.56,2022-03-03
138095,IE00B0M2Y900,12.97,2022-03-03
140887,IE00B11XYX59,42.96,2022-03-03
138175,IE00B11XZ541,18.95,2022-03-03
138096,IE00B11XZ871,34.09,2022-03-02
140888,IE00B11XZ988,28.29,2022-03-02
140889,IE00B1LHWR71,41.57,2022-03-03
141724,IE00B3YZ2X82,10.48,2022-03-03
138173,IE00B56MXK54,10.61,2022-03-03
138675,IE00B59JG481,274.12,2022-03-03
138579,IE00B6TMN219,16.34,2022-03-03
138021,IE00B7BTH691,9.04,2022-03-03
138573,IE00B7F9FM77,84.53,2022-03-03
138685,IE00B7JY6H00,"1,506.78",2022-03-03
138023,IE00B7KFL990,15.04,2022-03-03
138580,IE00B7YBBB53,8.61,2022-03-03
140890,IE00B84J9L26,13.22,2022-03-03
138562,IE00B87L2R26,12.26,2022-03-03
138130,IE00B8J38129,159.69,2022-03-02
138550,IE00B8K7V925,10.33,2022-03-03
138551,IE00B8N0MW85,8.90,2022-03-03
140892,IE00B8W6D244,118.56,2022-03-03
138601,IE00B8XCT900,101.94,2022-03-02
140893,IE00B92ZW543,9.74,2022-03-03
138608,IE00B986FR42,7.32,2022-03-03
138607,IE00B986FT65,10.78,2022-03-03
138606,IE00B986J720,7.95,2022-03-03
138020,IE00B986J944,12.43,2022-03-03
140894,IE00B99K3R14,16.14,2022-03-03
140895,IE00B9HH6X13,9.48,2022-03-02
138572,IE00B9KHJ624,95.96,2022-03-03
138574,IE00B9NNHV84,89.88,2022-03-03
138139,IE00BBT3JP45,143.17,2022-03-03
138610,IE00BD2ZKR05,10.83,2022-03-02
140792,IE00BD2ZKV41,8.99,2022-03-02
138149,IE00BD5DFJ88,9.62,2022-03-02
140896,IE00BD8DFW88,9.21,2022-03-03
138710,IE00BDC3ND11,9.51,2022-03-03
140897,IE00BDRTCH17,9.26,2022-03-03
140898,IE00BDRTCL52,10.38,2022-03-03
138592,IE00BDRTDD44,8.72,2022-03-03
138552,IE00BF01VX72,8.78,2022-03-03
138179,IE00BF076L85,10.26,2022-03-03
140899,IE00BF0K7B44,8.04,2022-03-03
137997,IE00BF5GRB76,10.57,2022-03-03
138591,IE00BF5GRC83,9.47,2022-03-03
140900,IE00BF5GRD90,9.31,2022-03-03
138094,IE00BFRSV866,14.65,2022-03-03
140901,IE00BFRSV973,12.87,2022-03-02
138593,IE00BG0D1X06,9.15,2022-03-03
138093,IE00BGR6TZ09,20.69,2021-11-30
140902,IE00BH3X8443,9.83,2022-03-02
140903,IE00BH3X8559,9.69,2022-03-02
140791,IE00BJLTWV31,9.16,2022-03-02
140904,IE00BJMZC096,8.06,2022-03-03
138600,IE00BK017D46,107.12,2022-03-02
138599,IE00BK017F69,160.45,2022-03-02
138092,IE00BK4YYX88,11.31,2022-03-03
138621,IE00BKHY2863,9.73,2022-03-02
138611,IE00BKHY2970,9.56,2022-03-02
140905,IE00BKPHWW11,9.94,2022-03-03
140906,IE00BKPHWX28,9.39,2022-03-03
140907,IE00BLSP4015,91.60,2022-03-03
138004,IE00BLSP4122,0.999,2022-03-03
140908,IE00BMF77083,0.77,2022-03-03
140909,IE00BMF77208,0.63,2022-03-03
141794,IE00BMG7P694,103.49,2022-03-03
140794,IE00BMG7P819,1.01,2022-03-03
140795,IE00BMG7P926,104.82,2022-03-03
138602,IE00BMMVVZ61,135.42,2022-03-02
138603,IE00BMMVW089,102.16,2022-03-02
140911,IE00BMN93084,14.01,2022-03-03
138019,IE00BMPRXN33,13.13,2022-03-03
138700,IE00BMPRXP56,12.45,2022-03-03
140912,IE00BMPRXR70,25.19,2022-03-03
138699,IE00BMPRXS87,12.51,2022-03-03
140913,IE00BMPRXT94,11.92,2022-03-03
140914,IE00BN6Q8645,91.83,2022-03-03
138529,IE00BNNH3G56,104.26,2022-03-02
138563,IE00BQR9PJ58,8.62,2022-03-03
140915,IE00BQSBQV90,22.04,2022-03-03
140916,IE00BRJFZ213,9.12,2022-03-03
138564,IE00BRJFZD22,8.94,2022-03-03
140917,IE00BRJFZM13,17.79,2022-03-03
138150,IE00BRJT7498,161.91,2022-03-02
138527,IE00BRJT7613,146.20,2022-03-02
138528,IE00BRJT7944,114.39,2022-03-02
140918,IE00BRJTF125,7.07,2022-03-03
140919,IE00BWDBJ409,0.937,2022-03-03
140920,IE00BZBWL408,9.68,2022-03-02
138172,IE00BZBXG372,11.43,2022-03-03
138713,IE00BZBXG489,9.85,2022-03-03
138714,IE00BZBXG604,10.81,2022-03-03
140928,LU0006061252,92.56,2022-03-03
140929,LU0006061336,333.92,2022-03-03
140931,LU0011846440,165.63,2022-03-03
138159,LU0011850046,88.31,2022-03-03
138040,LU0011850392,53.60,2022-02-28
140932,LU0011889846,56.26,2022-03-03
140933,LU0011889929,20.49,2022-03-03
140934,LU0011963245,101.13,2022-03-03
140935,LU0011963328,57.65,2022-03-03
140936,LU0012050729,11.36,2022-03-03
140937,LU0012181748,"5,997.00",2022-03-03
140938,LU0028118809,22.05,2022-03-03
140939,LU0028119013,30.35,2022-03-03
138086,LU0029865408,52.98,2022-03-03
138084,LU0029871042,13.56,2022-03-03
138083,LU0029874905,42.03,2022-03-03
138080,LU0029875118,36.35,2022-03-03
138082,LU0029876355,8.53,2022-03-03
140941,LU0039217434,114.07,2022-03-03
140942,LU0043850808,70.80,2022-03-03
137993,LU0046676465,37.74,2022-03-03
138041,LU0047713382,42.06,2022-03-03
138051,LU0048573561,14.64,2022-03-03
138052,LU0048573645,35.21,2022-03-03
140943,LU0048574536,80.11,2022-03-03
138057,LU0048575426,32.65,2022-03-03
140944,LU0048578792,16.34,2022-03-03
138059,LU0048579097,14.42,2022-03-03
138061,LU0048580004,58.05,2022-03-03
138062,LU0048580855,292.90,2022-03-03
138063,LU0048581077,68.33,2022-03-03
140945,LU0048585144,259.80,2022-03-03
138069,LU0048588163,43.36,2022-03-03
140780,LU0048597586,11.52,2022-03-03
140946,LU0048621477,51.92,2022-03-03
138068,LU0049112450,43.36,2022-03-03
138066,LU0050427557,33.31,2022-03-03
138060,LU0052588471,18.29,2022-03-03
140947,LU0052750758,28.58,2022-03-03
140948,LU0052756011,23.93,2022-03-03
138158,LU0052767562,9.77,2022-03-03
138128,LU0052864419,75.39,2022-03-03
138549,LU0053903380,5.74,2022-03-03
138053,LU0054237671,57.04,2022-03-03
140949,LU0054450605,19.16,2022-03-03
138045,LU0054578231,137.14,2022-03-03
138064,LU0055114457,26.50,2022-03-03
138047,LU0055631609,39.07,2022-03-03
138122,LU0056508442,67.63,2022-03-03
140950,LU0057025933,117.56,2022-03-03
140952,LU0061175625,65.43,2022-03-03
138125,LU0063729296,40.33,2022-03-03
140954,LU0065014192,5.63,2022-03-03
140955,LU0066902890,233.29,2022-03-03
