Symbol,Currency,Master ID,indicator_id
LU0079474960,USD,137979,371
LU0157308031,USD,137980,371
LU0328307730,EUR,137981,371
LU0861579265,USD,137982,371
LU1548497426,USD,137983,371
LU1740659690,USD,137984,371
LU0158827948,USD,137985,371
LU1479563717,EUR,137986,371
LU1200839618,GBP,137987,371
LU0679940949,CNH,137988,371
LU1564329032,USD,137989,371
LU0562822386,EUR,137990,371
LU0072462426,USD,137991,371
LU0784385840,USD,137992,371
LU0046676465,USD,137993,371
LU0106831901,USD,137994,371
LU0122379950,USD,137995,371
LU1165135440,EUR,137996,371
IE00BF5GRB76,USD,137997,371
LU1313547462,USD,137998,371
LU0119124781,EUR,137999,371
LU0982800491,AUD,138000,371
LU0905233846,USD,138001,371
LU0109392836,USD,138002,371
LU1093756168,USD,138003,371
IE00BLSP4122,SGD,138004,371
SGXZ83598466,SGD,138005,371
SGXZ46560496,SGD,138006,371
SGXZ28681005,SGD,138007,371
SG9999008932,SGD,138008,371
SG9999006225,SGD,138009,371
LU0704905362,EUR,138010,371
LU1255010958,CNH,138011,371
LU1041599405,USD,138012,371
LU0235639324,JPY,138013,371
LU0395794307,EUR,138014,371
LU0095938881,EUR,138015,371
LU0853555380,EUR,138016,371
LU1935355344,SGD,138017,371
LU1850216372,SGD,138018,371
IE00BMPRXN33,USD,138019,371
IE00B986J944,USD,138020,371
IE00B7BTH691,USD,138021,371
LU1939255532,USD,138022,371
IE00B7KFL990,USD,138023,371
HK0000081841,HKD,138024,371
LU0626906662,USD,138025,371
LU0067412154,USD,138026,371
LU1807302812,USD,138027,371
SG9999002042,SGD,138028,371
SG9999000426,SGD,138029,371
SG9999000442,SGD,138030,371
SG9999001663,SGD,138031,371
LU0633140560,USD,138032,371
LU0539801802,AUD,138033,371
LU0683600562,USD,138034,371
LU0348788117,USD,138035,371
LU0414045822,EUR,138036,371
LU0689472784,USD,138037,371
LU1322973634,USD,138038,371
LU0821914370,USD,138039,371
LU0011850392,EUR,138040,371
LU0047713382,USD,138041,371
LU0278470058,USD,138042,371
LU0494093205,USD,138043,371
LU0072463663,USD,138044,371
LU0054578231,USD,138045,371
LU0122376428,USD,138046,371
LU0055631609,USD,138047,371
LU0075056555,USD,138048,371
LU0823428932,USD,138049,371
SG9999002851,SGD,138050,371
LU0048573561,USD,138051,371
LU0048573645,USD,138052,371
LU0054237671,USD,138053,371
LU0650527681,SGD,138054,371
LU0173614495,USD,138055,371
LU0303816028,EUR,138056,371
LU0048575426,USD,138057,371
LU0088814487,EUR,138058,371
LU0048579097,EUR,138059,371
LU0052588471,EUR,138060,371
LU0048580004,EUR,138061,371
LU0048580855,USD,138062,371
LU0048581077,EUR,138063,371
LU0055114457,USD,138064,371
LU0050427557,USD,138066,371
LU0048587868,USD,138067,371
LU0049112450,USD,138068,371
LU0048588163,USD,138069,371
SG9999002067,SGD,138070,371
SG9999005300,SGD,138071,371
SG9999002083,SGD,138072,371
SG9999000194,SGD,138073,371
SG9999000186,SGD,138074,371
SG9999000202,SGD,138075,371
LU0109394709,USD,138076,371
LU0231203729,USD,138077,371
LU0300737037,USD,138078,371
LU0109391861,USD,138079,371
LU0029875118,USD,138080,371
LU0078277505,EUR,138081,371
LU0029876355,USD,138082,371
LU0029874905,USD,138083,371
LU0029871042,USD,138084,371
LU0170475312,USD,138085,371
LU0029865408,USD,138086,371
LU0234573003,USD,138087,371
LU0820775533,USD,138088,371
LU0969268043,AUD,138089,371
LU0260085492,EUR,138090,371
SG9999015754,SGD,138091,371
IE00BK4YYX88,USD,138092,371
IE00BGR6TZ09,SGD,138093,371
IE00BFRSV866,USD,138094,371
IE00B0M2Y900,USD,138095,371
IE00B11XZ871,USD,138096,371
SG9999001846,SGD,138097,371
SG9999000327,SGD,138098,371
SG9999007991,SGD,138099,371
SG9999006852,SGD,138100,371
LU0106250508,USD,138101,371
LU0955623706,USD,138102,371
LU0188438112,USD,138103,371
LU0106817157,EUR,138104,371
LU0106253197,USD,138105,371
LU0106236267,EUR,138106,371
LU0302445910,USD,138107,371
LU0106258311,USD,138108,371
LU0757359368,USD,138109,371
LU0314587907,USD,138110,371
LU0201322137,USD,138111,371
SG9999000277,SGD,138112,371
SG9999000343,SGD,138113,371
LU1226288097,SGD,138114,371
SG9999001135,SGD,138115,371
SG9999001234,SGD,138116,371
SG9999001176,SGD,138117,371
SG9999014880,SGD,138118,371
SG9999001143,SGD,138119,371
SG9999001382,SGD,138120,371
SGXZ44708527,USD,138121,371
LU0056508442,USD,138122,371
LU0171284937,USD,138123,371
LU0772969993,USD,138124,371
LU0063729296,USD,138125,371
LU0333810181,USD,138126,371
LU0243957239,EUR,138127,371
LU0052864419,USD,138128,371
LU0124675678,EUR,138129,371
IE00B8J38129,EUR,138130,371
LU1713307426,USD,138131,371
LU0187077481,EUR,138132,371
LU1725199209,USD,138133,371
LU1127386735,USD,138134,371
LU0174119429,USD,138135,371
LU1669035997,USD,138136,371
LU0143551892,USD,138137,371
LU1992135399,USD,138138,371
IE00BBT3JP45,USD,138139,371
LU1983299246,USD,138140,371
LU0823414635,EUR,138141,371
LU0859254822,USD,138142,371
LU0156897901,USD,138143,371
LU0853555463,USD,138144,371
LU1847653224,EUR,138145,371
LU0258954014,EUR,138146,371
LU1084869962,USD,138147,371
LU1806347388,EUR,138148,371
IE00BD5DFJ88,USD,138149,371
IE00BRJT7498,USD,138150,371
LU2145465402,EUR,138151,371
LU1917777945,USD,138152,371
LU0106235293,EUR,138153,371
LU0224508324,USD,138154,371
LU0352132103,USD,138155,371
LU0154236417,USD,138156,371
LU0228659784,USD,138157,371
LU0052767562,USD,138158,371
LU0011850046,USD,138159,371
LU0359201612,USD,138160,371
LU0348825331,USD,138161,371
