master id,isin name,price,date
141423,SG9999000152,1.01,2022-03-07
141424,SG9999000160,1.56,2022-03-07
141425,SG9999000178,0.87,2022-03-07
138074,SG9999000186,6.91,2022-03-07
138073,SG9999000194,1.48,2022-03-07
138075,SG9999000202,2.63,2022-03-07
141426,SG9999000210,2.39,2022-03-07
141427,SG9999000244,2.39,2022-03-07
141428,SG9999000251,1.97,2022-03-07
138112,SG9999000277,1.59,2022-03-07
138098,SG9999000327,3.63,2022-03-07
138113,SG9999000343,1.46,2022-03-07
141429,SG9999000368,3.93,2022-03-07
141430,SG9999000376,3.93,2022-03-07
141431,SG9999000392,1.73,2022-03-07
141432,SG9999000400,1.43,2022-03-07
141433,SG9999000418,1.50,2022-03-07
138029,SG9999000426,5.09,2022-03-07
141434,SG9999000434,1.50,2022-03-07
138030,SG9999000442,4.64,2022-03-07
141435,SG9999000459,7.03,2022-03-07
141436,SG9999000475,6.10,2022-03-07
141437,SG9999000483,9.94,2022-03-07
141438,SG9999000913,9.94,2022-03-07
141439,SG9999001051,1.96,2022-03-07
141440,SG9999001069,1.37,2022-03-07
141441,SG9999001077,2.81,2022-03-07
141442,SG9999001093,4.10,2022-03-07
141443,SG9999001119,1.23,2022-03-07
141444,SG9999001127,2.54,2022-03-07
138115,SG9999001135,1.33,2022-03-07
138119,SG9999001143,2.08,2022-03-07
141445,SG9999001168,2.54,2022-03-07
138117,SG9999001176,4.50,2022-03-07
141446,SG9999001192,2.89,2022-03-07
141447,SG9999001218,2.89,2022-03-07
141448,SG9999001226,0.96,2022-03-07
138116,SG9999001234,1.97,2022-03-07
138120,SG9999001382,1.97,2022-03-07
141449,SG9999001416,1.43,2022-03-07
141450,SG9999001424,0.70,2022-03-07
138031,SG9999001663,4.40,2022-03-07
141451,SG9999001689,3.70,2022-03-07
138097,SG9999001846,1.15,2022-03-07
141452,SG9999001879,3.70,2022-03-07
141453,SG9999001887,4.30,2022-03-07
141454,SG9999001903,4.06,2022-03-07
141455,SG9999001911,4.06,2022-03-07
141456,SG9999001929,4.06,2022-03-07
141457,SG9999001952,4.06,2022-03-07
138028,SG9999002042,2.32,2022-03-07
141458,SG9999002059,4.06,2022-03-07
138070,SG9999002067,1.70,2022-03-07
141459,SG9999002075,1.96,2022-03-07
138072,SG9999002083,1.48,2022-03-07
141460,SG9999002091,0.96,2022-03-07
141461,SG9999002109,0.96,2022-03-07
141462,SG9999002174,0.96,2022-03-07
141463,SG9999002216,1.52,2022-03-07
141464,SG9999002224,0.52,2022-03-07
141465,SG9999002299,1.81,2022-03-07
141466,SG9999002307,1.33,2022-03-07
141467,SG9999002315,1.39,2022-03-07
141468,SG9999002331,1.27,2022-03-07
141469,SG9999002349,0.93,2022-03-07
141470,SG9999002356,1.21,2022-03-07
141471,SG9999002364,0.88,2022-03-07
141472,SG9999002372,1.95,2022-03-08
141473,SG9999002406,3.11,2022-03-08
141474,SG9999002422,1.28,2022-03-08
141475,SG9999002448,3.96,2022-03-08
141476,SG9999002463,2.44,2022-03-07
141477,SG9999002471,1.79,2022-03-07
141478,SG9999002521,0.71,2022-03-07
141479,SG9999002562,3.02,2022-03-07
141480,SG9999002604,2.43,2022-03-07
141481,SG9999002612,2.43,2022-03-07
141482,SG9999002620,1.78,2022-03-07
141483,SG9999002646,1.59,2022-03-07
141484,SG9999002653,1.59,2022-03-07
141485,SG9999002679,2.38,2022-03-07
141486,SG9999002760,1.34,2022-03-07
141487,SG9999002786,1.50,2022-03-07
141488,SG9999002794,1.50,2022-03-07
141489,SG9999002810,2.33,2022-03-07
141490,SG9999002828,4.14,2022-03-07
141491,SG9999002844,2.14,2022-03-07
138050,SG9999002851,0.74,2022-03-07
141492,SG9999002950,1.89,2022-03-07
141493,SG9999002968,1.89,2022-03-07
141494,SG9999002976,0.72,2022-03-07
141495,SG9999002984,2.48,2022-03-07
141496,SG9999003115,1.57,2022-03-07
141497,SG9999003289,2.57,2022-03-07
141498,SG9999003305,1.41,2022-03-07
141499,SG9999003321,2.05,2022-03-07
141500,SG9999003370,2.05,2022-03-07
141501,SG9999003461,0.60,2022-03-07
141502,SG9999003487,0.56,2022-03-07
141503,SG9999003495,1.17,2022-03-07
141504,SG9999003511,1.10,2022-03-07
141505,SG9999004154,0.81,2022-03-07
141506,SG9999004212,1.59,2022-03-07
141507,SG9999004220,1.56,2022-03-07
141508,SG9999004253,0.79,2022-03-07
141509,SG9999004279,1.45,2022-03-07
141510,SG9999004287,1.77,2022-03-07
141511,SG9999004295,0.64,2022-03-07
141512,SG9999004303,2.08,2022-03-07
141513,SG9999004311,4.26,2022-03-07
141514,SG9999004329,4.26,2022-03-07
141515,SG9999004345,1.14,2022-03-07
141516,SG9999004352,0.84,2022-03-07
141517,SG9999004360,2.52,2022-03-07
141518,SG9999004543,2.52,2022-03-07
141519,SG9999004550,2.52,2022-03-07
141520,SG9999004634,2.52,2022-03-07
141521,SG9999004675,2.57,2022-03-07
141522,SG9999004683,2.17,2022-03-07
141523,SG9999004691,1.84,2022-03-07
141524,SG9999004717,1.84,2022-03-07
141525,SG9999004766,2.78,2022-03-07
141526,SG9999004824,1.63,2022-03-07
141527,SG9999004923,2.70,2022-03-07
141528,SG9999005003,1.44,2022-03-07
141529,SG9999005045,1.44,2022-03-07
141530,SG9999005169,1.44,2022-03-07
141531,SG9999005177,1.50,2022-03-07
141532,SG9999005185,1.50,2022-03-07
141533,SG9999005193,1.54,2022-03-07
141534,SG9999005201,1.54,2022-03-07
138071,SG9999005300,0.84,2022-03-07
141535,SG9999005953,2.01,2022-03-07
141536,SG9999006019,2.01,2022-03-07
138009,SG9999006225,1.42,2022-03-07
138100,SG9999006852,1.22,2022-03-07
138099,SG9999007991,1.01,2022-03-07
141537,SG9999008411,0.97,2022-03-07
141538,SG9999008643,0.97,2022-03-07
138008,SG9999008932,0.92,2022-03-07
141539,SG9999009229,0.97,2022-03-07
141540,SG9999009237,0.97,2022-03-07
141541,SG9999009286,0.97,2022-03-07
141542,SG9999009294,0.97,2022-03-07
141543,SG9999009302,4.12,2020-02-06
141544,SG9999009310,4.12,2020-02-06
141545,SG9999009328,4.12,2020-02-06
141546,SG9999009443,0.90,2022-03-07
141547,SG9999010169,1.08,2022-03-07
141548,SG9999010805,0.98,2022-03-07
141549,SG9999011266,0.98,2022-03-07
141550,SG9999011746,3.89,2022-03-07
141551,SG9999013353,0.84,2022-03-07
141552,SG9999013387,0.92,2022-03-07
141553,SG9999013999,0.93,2022-03-07
141554,SG9999014484,1.41,2022-03-07
141555,SG9999014674,1.22,2022-03-07
141556,SG9999014864,1.14,2022-03-07
141557,SG9999014872,0.98,2022-03-07
138118,SG9999014880,1.73,2022-03-07
141558,SG9999014898,1.54,2022-03-07
141559,SG9999014906,1.81,2022-03-07
141560,SG9999014914,1.53,2022-03-07
141561,SG9999015671,1.13,2022-03-07
138091,SG9999015754,1.06,2022-03-07
141562,SG9999015762,0.87,2022-03-07
141563,SG9999015770,0.88,2022-03-07
141564,SG9999015788,1.07,2022-03-07
141565,SG9999015796,0.88,2022-03-07
141566,SG9999015804,0.89,2022-03-07
141567,SG9999018857,1.30,2022-03-07
141568,SG9999018865,1.12,2022-03-07
141569,SG9999019137,1.72,2022-03-07
