master_id,companyName,exchangeId,symbol,exchange,securityType,domain,isin
137979,AB - American Growth Portfolio A Acc,120,LU0079474960,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",LU0079474960
137980,AB - American Income Portfolio AT Inc,120,LU0157308031,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",LU0157308031
137981,AB - Global High Yield Portfolio AT Inc,120,LU0328307730,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",LU0328307730
137982,AB SICAV I - Low Volatility Equity Portfolio A USD Acc,120,LU0861579265,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",LU0861579265
137983,Allianz Global Investors Fund - Allianz Global Artificial Intelligence AT USD,120,LU1548497426,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",LU1548497426
137984,Allianz Global Investors Fund - Allianz Global Floating Rate Notes Plus AT USD,120,LU1740659690,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",LU1740659690
137985,Allianz Global Investors Fund - Allianz Global Sustainability A USD,120,LU0158827948,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",LU0158827948
137986,Allianz Global Investors Fund - Allianz Thematica A EUR,120,LU1479563717,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",LU1479563717
137987,BlackRock Global Funds - Asian Tiger Bond Fund A6 GBP Hedged,120,LU1200839618,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://www.moneycontroller.co.uk/",LU1200839618
137988,BlackRock Global Funds - China Bond Fund A2,120,LU0679940949,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://www.moneycontroller.co.uk/",LU0679940949
137989,BlackRock Global Funds - Dynamic High Income Fund A2 USD,120,LU1564329032,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://www.moneycontroller.co.uk/",LU1564329032
137990,BlackRock Global Funds - European Equity Income Fund A2,120,LU0562822386,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://www.moneycontroller.co.uk/",LU0562822386
137991,BlackRock Global Funds - Global Allocation Fund A2,120,LU0072462426,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://www.moneycontroller.co.uk/",LU0072462426
137992,BlackRock Global Funds - Global Multi-Asset Income Fund A2,120,LU0784385840,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://www.moneycontroller.co.uk/",LU0784385840
137993,BlackRock Global Funds - US Dollar High Yield Bond Fund A2 USD,120,LU0046676465,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://www.moneycontroller.co.uk/",LU0046676465
137994,BlackRock Global Funds - World Financials Fund A2,120,LU0106831901,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://www.moneycontroller.co.uk/",LU0106831901
137995,BlackRock Global Funds - World Healthscience Fund A2,120,LU0122379950,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://www.moneycontroller.co.uk/",LU0122379950
137996,BNP Paribas Funds Aqua Classic Capitalisation,120,LU1165135440,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",LU1165135440
137997,Fidelity Enhanced Reserve Fund A-Acc USD,120,IE00BF5GRB76,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://www.moneycontroller.co.uk/
https://www.fidelity.com.sg/",IE00BF5GRB76
137998,Fidelity Funds - China High Yield Fund A-Acc-USD,120,LU1313547462,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://www.moneycontroller.co.uk/
https://www.fidelity.com.sg/",LU1313547462
137999,Fidelity Funds - European Dynamic Growth Fund A-DIST-EUR,120,LU0119124781,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://www.moneycontroller.co.uk/
https://www.fidelity.com.sg/",LU0119124781
138000,Fidelity Funds - Global Dividend Fund A-MINCOME(G)-AUD (hedged),120,LU0982800491,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://www.moneycontroller.co.uk/
https://www.fidelity.com.sg/",LU0982800491
138001,Fidelity Funds - Global Multi Asset Income Fund A-Acc-USD,120,LU0905233846,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://www.moneycontroller.co.uk/
https://www.fidelity.com.sg/",LU0905233846
138002,Franklin Technology Fund A (Acc) USD,120,LU0109392836,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://www.moneycontroller.co.uk/",LU0109392836
138003,Franklin Templeton Investment Funds-Franklin K2 Alternative Strategies Fund A(acc)USD,120,LU1093756168,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://www.moneycontroller.co.uk/",LU1093756168
138004,Legg Mason Brandywine Global Income Optimiser Fund Class A SGD Distributing (M) (Hedged) Plus,120,IE00BLSP4122,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://www.moneycontroller.co.uk/",IE00BLSP4122
138005,Fullerton SGD Heritage Balanced Class A SGD Acc,120,SGXZ83598466,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://fundsingapore.com/",SGXZ83598466
138006,Fullerton SGD Heritage Growth Class A SGD Acc,120,SGXZ46560496,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://fundsingapore.com/",SGXZ46560496
138007,Fullerton SGD Heritage Income Class A SGD Acc,120,SGXZ28681005,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://fundsingapore.com/",SGXZ28681005
138008,Fullerton SGD Income Fund - Class B,120,SG9999008932,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://fundsingapore.com/",SG9999008932
138009,Fullerton Short Term Interest Rate Retail - Accumulating,120,SG9999006225,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://fundsingapore.com/",SG9999006225
138010,Invesco Zodiac Funds - Invesco US Senior Loan HHX AUD Monthly Distribution,120,LU0704905362,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://www.moneycontroller.co.uk/",LU0704905362
138011,JPMorgan Funds - China A-Share Opportunities Fund A (acc) - RMB,120,LU1255010958,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",LU1255010958
138012,JPMorgan Funds - Income Fund A (acc) - USD,120,LU1041599405,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",LU1041599405
138013,JPMorgan Funds - Japan Equity Fund A (acc) - JPY,120,LU0235639324,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",LU0235639324
138014,JPMorgan Investment Funds - Global Income Fund A (div) - EUR,120,LU0395794307,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",LU0395794307
138015,JPMorgan Investment Funds - Global Macro Opportunities Fund A (acc) - EUR,120,LU0095938881,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",LU0095938881
138016,Jupiter Dynamic Bond Class L EUR Acc,120,LU0853555380,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",LU0853555380
138017,Manulife Global Fund - Asia Pacific REIT Fund S SGD Hedged MDIST (G),120,LU1935355344,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",LU1935355344
138018,Manulife Global Fund - Preferred Securities Income Fund AA (SGD Hedged) MDIST (G),120,LU1850216372,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",LU1850216372
138019,Neuberger Berman 5G Connectivity Fund USD A Accumulating Class,120,IE00BMPRXN33,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",IE00BMPRXN33
138020,Neuberger Berman Emerging Market Debt - Hard Currency Fund USD A Accumulating Class,120,IE00B986J944,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",IE00B986J944
138021,Neuberger Berman Strategic Income Fund A USD Monthly Distributing Class,120,IE00B7BTH691,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",IE00B7BTH691
138022,Ninety One Global Strategy Fund - Global Environment Fund A Acc USD,120,LU1939255532,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",LU1939255532
138023,PIMCO GIS Income Fund E Class USD Accumulation,120,IE00B7KFL990,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://www.moneycontroller.co.uk/",IE00B7KFL990
138024,Schroder Asian Asset Income Fund A Accumulation HKD,120,HK0000081841,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",HK0000081841
138025,UBS (Lux) Bond SICAV - Asian High Yield (USD) P-acc,120,LU0626906662,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",LU0626906662
138026,UBS (Lux) Equity Fund - China Opportunity (USD) P-acc,120,LU0067412154,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",LU0067412154
138027,UBS (Lux) Equity SICAV - All China (USD) P-acc,120,LU1807302812,EUFUND,MF,"https://www.fundinfo.com/
https://doc.morningstar.com/",LU1807302812
138028,Aberdeen Select Portfolio-Aberdeen Global Emerging Markets Fund - SGD,120,SG9999002042,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://fundsingapore.com/",SG9999002042
138029,Aberdeen Select Portfolio-Aberdeen Indonesia Equity Fund - SGD,120,SG9999000426,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://fundsingapore.com/",SG9999000426
138030,Aberdeen Select Portfolio-Aberdeen Malaysian Equity Fund - SGD,120,SG9999000442,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://fundsingapore.com/",SG9999000442
138031,Aberdeen Standard India Opportunities Fund - SGD,120,SG9999001663,EUFUND,MF,"https://www.fundinfo.com
https://doc.morningstar.com/
https://fundsingapore.com/",SG9999001663
