Security ID,,fund name,,isin,
138067,,Fidelity Funds - Malaysia Fund A-DIST-USD,120,LU0048587868,#N/A
138069,,Fidelity Funds - Singapore Fund A-DIST-USD,120,LU0048588163,#N/A
138070,,First Sentier Bridge Fund Class A (H Dist),120,SG9999002067,#N/A
138071,,First Sentier Global Listed Infrastructure Fund Class A Half-yearly Distribution,120,SG9999005300,#N/A
138072,,FSSA Dividend Advantage Fund Class A (Quarterly Distributing),120,SG9999002083,#N/A
138073,,FSSA Regional China Fund Class A Accumulation,120,SG9999000194,#N/A
138074,,FSSA Regional India Fund Class A Accumulation,120,SG9999000186,#N/A
138075,,FSSA Singapore Growth Fund Class A Accumulation,120,SG9999000202,#N/A
138115,,United ASEAN Fund,120,SG9999001135,#N/A
138116,,United Global Financials Fund,120,SG9999001234,#N/A
138117,,United Global Healthcare Fund - Class SGD Acc,120,SG9999001176,#N/A
138118,,United Global Quality Growth Fund - Class SGD Acc,120,SG9999014880,#N/A
138119,,United Gold & General Fund - Class A SGD Acc,120,SG9999001143,#N/A
138120,,United SGD Fund - Class A SGD Acc,120,SG9999001382,#N/A
138121,,United Sustainable Credit Income Fund - Class A USD Acc,120,SGXZ44708527,#N/A
138132,,Robeco New World Financials D Ã¢â€šÂ¬,120,LU0187077481,#N/A
138147,,Wellington Global Quality Growth Fund D USD Acc Unhedged,120,LU1084869962,#N/A
138148,,RobecoSAM SDG Credit Income BxH EUR,120,LU1806347388,#N/A
138151,,RobecoSAM Smart Mobility Equities D EUR,120,LU2145465402,#N/A
138575,,RobecoSAM SDG Credit Income Fund,120,LU1806346737,#N/A
138608,,Neuberger Berman Emerging Market Debt -Hard Currency Fund Dist),120,IE00B986FR42,#N/A
138638,,Wellington Global Quality Growth Fund (ACC),120,LU1366139522,#N/A
138640,,AB Low Volatility Total Return Equity Portfolio,120,LU2056362424,#N/A
138641,,AB Low Volatility Total Return Equity Portfolio,120,LU2056362770,#N/A
138646,,RobecoSAM SMART Mobility Equities D (ACC),120,LU2145465584,#N/A
138650,,T Rowe Funds SICAV- US Large Cap Growth Equity Fund (ACC),120,LU1777971893,#N/A
138704,,Robeco New World Financials Fund ACC,120,LU1079558364,#N/A
140778,,First State Asian Equity Plus Fund Class I (USD - Acc),120,IE00B067MR52,#N/A
140870,,Industria A EUR,120,DE0008475021,https://www.fundinfo.com/en/DE-prof/LandingPage?query
140883,,FIRST STATE CHINA GROWTH FUND - CLASS 1 (USD),120,IE0008368742,https://www.fundinfo.com/en/DE-prof/LandingPage?query
140899,,NB EMD Hard Currency Fund A Mdist (AUD-H) - Cash,120,IE00BF0K7B44,https://fundsingapore.com/fund-library
140908,,DWS Invest (IE) ICAV - DWS Noor Precious Mtl Secur (USD) LC,120,IE00BMF77083,
140909,,DWS Invest (IE) ICAV - DWS Noor Precious Mtl Secur (SGD) LC,120,IE00BMF77208,
140911,,NB EMD BLEND FUND A MDIST (SGD-H) - CASH,120,IE00BMN93084,https://fundsingapore.com/fund-library
140913,,Neuberger Berman 5G Connectivity Fund A Acc (AUD-H),120,IE00BMPRXT94,https://fundsingapore.com/fund-library
140915,,NB US STRATEGIC INCOME FUND A ACC (SGD-H),120,IE00BQSBQV90,https://fundsingapore.com/fund-library
140918,,NB EMD BLEND FUND A MDIST (USD) - CASH,120,IE00BRJTF125,https://fundsingapore.com/fund-library
140959,,FIDELITY FUNDS - TAIWAN FUND (USD),120,LU0075458603,https://www.moneycontroller.co.uk/mutual-funds
141033,,FIDELITY FUNDS - SINGAPORE FUND (SGD) [CASH],120,LU0287143431,https://www.moneycontroller.co.uk/mutual-funds
141104,,ACMBERNSTEIN SICAV - INDIA GROWTH PORTFOLIO A (USD),120,LU0430678424,https://www.fundinfo.com/en/DE-prof/LandingPage?query
141113,,ALMA PLATINUM IV SYSTEMATIC ALPHA RIC-U (USD),120,LU0462954982,https://www.morningstar.co.uk/uk/funds/snapshot/snapshot.aspx?id=F00000PE9L&tab=12
141130,,ALMA PLATINUM IV SYSTEMATIC ALPHA RIC-S (SGD),120,LU0562753474,https://www.morningstar.co.uk/uk/funds/snapshot/snapshot.aspx?id=F00000MK5D&tab=12
141175,,DEUTSCHE INVEST II EUROPEAN TOP DIVIDEND - LC (EUR),120,LU0781237614,
141196,,PARVEST EQUITY EUROPE EMERGING CLASSIC CAP (EUR) {TXN CCY:SGD},120,LU0823403356,https://www.moneycontroller.co.uk/mutual-funds/funds/emerging-markets-stocks-europe/bnp-paribas-funds/bnp-paribas-funds-europe-emerging-equity-classic-cap-LU0823403356
141380,,ALLIANZ GLOBAL DYN MULTIASSET STRAT 50 AMG (SGD-H) - CASH,120,LU1861127501,https://fundsingapore.com/fund-library
141381,,ALLIANZ GLOBAL DYN MULTIASSET STRAT 50 AMG (AUD-H) - CASH,120,LU1861127683,
141382,,ALLIANZ GLOBAL DYN MULTIASSET STRAT 50 AMG (EUR-H) - CASH,120,LU1861127766,
141419,,FF - Global Dividend Fund A-MCDIST(G)-SGD (SGD/USD-H) Cash,120,LU2375672263,https://www.fidelity.com.sg/
141421,,KOTAK INDIAN MIDCAP FUND CLASS C (USD),120,MU0164S00030,
141422,,KOTAK INDIAN INFRASTRUCTURE & REALTY FUND: SERIES 2 (USD),120,MU0221S00053,
141715,,JPMorgan Investment Funds - Global Income Fund,120,LU0762807625,#N/A
141716,,JPMorgan Investment Funds - Global Income Fund,120,LU1223202513,#N/A
141717,,Allianz Income and Growth Fund,120,LU0820562113,#N/A
141719,,BGF - Latin American Fund,120,LU0171289498,#N/A
141720,,FTIF -Franklin India Fund,120,LU0231205187,#N/A
141721,,FTIF -Franklin MENA Fund,120,LU0352132285,#N/A
141722,,FTIF -Global Bond Fund,120,LU0170474422,#N/A
141723,,Goldman Sachs Emerging Market Debt Portfolio EUR Hedged (MDIST),120,LU1483922933,#N/A
141724,,Principal Islamic ASEAN Equity Fund,120,IE00B3YZ2X82,#N/A
